week_number,week_start,week_end,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative
27,2020-06-28T00:00:00.000,2020-07-04T00:00:00.000,250,2897.0,581.1,6734.2,0.064,0.159,0.0,12.0,0.0,27.9,43019,60707-2020-27,"{'type': 'Point', 'coordinates': [-87.808283, 41.921777]}",0,0,4454,0,0,7,403,16.3,936.8
19,2020-05-03T00:00:00.000,2020-05-09T00:00:00.000,40,189.0,140.0,661.4,0.15,0.18,2.0,5.0,7.0,17.5,28577,60827-2020-19,"{'type': 'Point', 'coordinates': [-87.633087, 41.650765]}",0,0,4460,0,0,7,51,24.5,178.5
23,2020-05-31T00:00:00.000,2020-06-06T00:00:00.000,405,4982.0,812.1,9990.0,0.054,0.14,3.0,58.0,6.0,116.3,49870,60643-2020-23,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,18,718,36.1,1439.7
24,2020-06-07T00:00:00.000,2020-06-13T00:00:00.000,544,5526.0,1090.8,11080.8,0.044,0.13,4.0,62.0,8.0,124.3,49870,60643-2020-24,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,21,739,42.1,1481.9
25,2020-06-14T00:00:00.000,2020-06-20T00:00:00.000,863,6389.0,1730.5,12811.3,0.017,0.115,1.0,63.0,2.0,126.3,49870,60643-2020-25,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,14,753,28.1,1509.9
26,2020-06-21T00:00:00.000,2020-06-27T00:00:00.000,924,7313.0,1852.8,14664.1,0.028,0.104,0.0,63.0,0.0,126.3,49870,60643-2020-26,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,21,774,42.1,1552.0
27,2020-06-28T00:00:00.000,2020-07-04T00:00:00.000,937,8250.0,1878.9,16543.0,0.028,0.095,0.0,63.0,0.0,126.3,49870,60643-2020-27,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,27,801,54.1,1606.2
28,2020-07-05T00:00:00.000,2020-07-11T00:00:00.000,983,9233.0,1971.1,18514.1,0.058,0.091,1.0,64.0,2.0,128.3,49870,60643-2020-28,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,52,853,104.3,1710.4
15,2020-04-05T00:00:00.000,2020-04-11T00:00:00.000,38,132.0,258.9,899.5,0.079,0.167,0.0,0.0,0.0,0.0,14675,60601-2020-15,"{'type': 'Point', 'coordinates': [-87.622844, 41.886262]}",42,38,14309,580,36,6,34,40.9,231.7
2,2021-01-10T00:00:00.000,2021-01-16T00:00:00.000,61,1657.0,4903.5,133199.4,0.016,0.057,0.0,1.0,0.0,80.4,1244,60602-2021-2,"{'type': 'Point', 'coordinates': [-87.628309, 41.883136]}",41,38,14310,92,36,2,78,160.8,6270.1
30,2020-07-19T00:00:00.000,2020-07-25T00:00:00.000,596,5243.0,2014.1,17718.2,0.027,0.057,0.0,4.0,0.0,13.5,29591,60607-2020-30,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",44,29,14917,87,26,12,531,40.6,1794.5
29,2020-07-12T00:00:00.000,2020-07-18T00:00:00.000,1862,13759.0,2350.9,17371.4,0.028,0.146,1.0,73.0,1.3,92.2,79205,60608-2020-29,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,39,1966,49.2,2482.2
14,2020-03-29T00:00:00.000,2020-04-04T00:00:00.000,16,67.0,161.2,675.0,0.125,0.194,0.0,0.0,0.0,0.0,9926,60661-2020-14,"{'type': 'Point', 'coordinates': [-87.644283, 41.882786]}",45,29,4452,784,36,3,15,30.2,151.1
27,2020-06-28T00:00:00.000,2020-07-04T00:00:00.000,521,5954.0,1518.5,17353.0,0.035,0.154,0.0,26.0,0.0,75.8,34311,60612-2020-27,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",28,29,21184,785,46,19,751,55.4,2188.8
16,2020-04-12T00:00:00.000,2020-04-18T00:00:00.000,30,114.0,302.2,1148.5,0.033,0.149,0.0,0.0,0.0,0.0,9926,60661-2020-16,"{'type': 'Point', 'coordinates': [-87.644283, 41.882786]}",45,29,4452,784,36,3,20,30.2,201.5
30,2020-07-19T00:00:00.000,2020-07-25T00:00:00.000,953,13045.0,1399.5,19156.8,0.065,0.109,0.0,71.0,0.0,104.3,68096,60620-2020-30,"{'type': 'Point', 'coordinates': [-87.651656, 41.740873]}",59,70,21554,530,13,61,1384,89.6,2032.4
14,2020-03-29T00:00:00.000,2020-04-04T00:00:00.000,27,55.0,209.8,427.3,0.185,0.145,0.0,0.0,0.0,0.0,12871,60633-2020-14,"{'type': 'Point', 'coordinates': [-87.556037, 41.653147]}",26,52,22250,586,47,7,11,54.4,85.5
29,2020-07-12T00:00:00.000,2020-07-18T00:00:00.000,942,10175.0,1888.9,20403.0,0.051,0.088,0.0,64.0,0.0,128.3,49870,60643-2020-29,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,43,896,86.2,1796.7
14,2020-03-29T00:00:00.000,2020-04-04T00:00:00.000,201,509.0,253.8,642.6,0.308,0.291,1.0,1.0,1.3,1.3,79205,60608-2020-14,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26,77,168,97.2,212.1
16,2020-04-12T00:00:00.000,2020-04-18T00:00:00.000,384,1081.0,540.7,1522.0,0.289,0.257,5.0,11.0,7.0,15.5,71023,60641-2020-16,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",21,15,22618,139,21,109,311,153.5,437.9
12,2020-03-15T00:00:00.000,2020-03-21T00:00:00.000,76,81.0,152.4,162.4,0.237,0.222,0.0,0.0,0.0,0.0,49870,60643-2020-12,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,21,23,42.1,46.1
30,2020-07-19T00:00:00.000,2020-07-25T00:00:00.000,1014,11189.0,2033.3,22436.3,0.054,0.085,0.0,64.0,0.0,128.3,49870,60643-2020-30,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,53,949,106.3,1902.9
32,2020-08-02T00:00:00.000,2020-08-08T00:00:00.000,1092,13212.0,2189.7,26492.9,0.032,0.078,0.0,67.0,0.0,134.3,49870,60643-2020-32,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,29,1019,58.2,2043.3
36,2020-08-30T00:00:00.000,2020-09-05T00:00:00.000,0,807.0,0.0,2823.9,0.0,0.09,0.0,8.0,0.0,28.0,28577,60827-2020-36,"{'type': 'Point', 'coordinates': [-87.633087, 41.650765]}",0,0,4460,0,0,0,104,0.0,363.9
33,2020-08-09T00:00:00.000,2020-08-15T00:00:00.000,1021,14233.0,2047.3,28540.2,0.038,0.075,0.0,67.0,0.0,134.3,49870,60643-2020-33,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,35,1054,70.2,2113.5
34,2020-08-16T00:00:00.000,2020-08-22T00:00:00.000,1708,15941.0,3424.9,31965.1,0.027,0.07,2.0,69.0,4.0,138.4,49870,60643-2020-34,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,39,1093,78.2,2191.7
35,2020-08-23T00:00:00.000,2020-08-29T00:00:00.000,1335,17276.0,2677.0,34642.1,0.028,0.067,2.0,71.0,4.0,142.4,49870,60643-2020-35,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",13,71,22212,630,42,27,1120,54.1,2245.8
15,2020-04-05T00:00:00.000,2020-04-11T00:00:00.000,275,777.0,291.3,823.1,0.335,0.245,2.0,2.0,2.1,2.1,94395,60618-2020-15,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",39,16,21538,372,20,95,218,100.6,230.9
